iter	MultiClass
0	1.738001127
1	1.58862141
2	1.460500817
3	1.362295743
4	1.274591092
5	1.203935005
6	1.143244969
7	1.089125737
8	1.039303141
9	0.9955466957
10	0.9612765733
11	0.9260745037
12	0.8949233411
13	0.8650158392
14	0.8414093264
15	0.8166566361
16	0.7931700056
17	0.7728213214
18	0.7529875078
19	0.7365350548
20	0.7192331891
21	0.7046584861
22	0.6914708096
23	0.6783675888
24	0.6665857964
25	0.6527860297
26	0.6394219675
27	0.6296782014
28	0.6200075681
29	0.6099111026
30	0.600828679
31	0.5915940134
32	0.5815251146
33	0.5719410776
34	0.5630245138
35	0.5573128688
36	0.5512021433
37	0.544391808
38	0.539057066
39	0.5337688341
40	0.5273946366
41	0.5212806225
42	0.5165311005
43	0.5126195373
44	0.5083598413
45	0.5031891916
46	0.4988529395
47	0.4940196905
48	0.4894457445
49	0.4858016401
50	0.481349316
51	0.4761465549
52	0.471656084
53	0.468485729
54	0.4641287947
55	0.4611107494
56	0.4578449805
57	0.4536178877
58	0.4488702297
59	0.4451572496
60	0.4419836645
61	0.4389280931
62	0.4357438062
63	0.4329103345
64	0.4298115532
65	0.4279179314
66	0.4252532664
67	0.4219576067
68	0.4201687866
69	0.4170738632
70	0.4133267626
71	0.4116865785
72	0.4096823335
73	0.4075061504
74	0.4058166743
75	0.4045449738
76	0.4021142566
77	0.3994371833
78	0.3975252673
79	0.3946783029
80	0.3928822702
81	0.3910116706
82	0.3890090817
83	0.3874347491
84	0.3857807041
85	0.3841423544
86	0.3822495983
87	0.3801126117
88	0.3784883428
89	0.3765124563
90	0.3748422016
91	0.3733413804
92	0.3719276509
93	0.3702239249
94	0.3683803841
95	0.367261572
96	0.3653654368
97	0.3631918526
98	0.3615696801
99	0.3591526175
100	0.3572649161
101	0.3560291611
102	0.3549015985
103	0.3537063609
104	0.3522572886
105	0.3507864997
106	0.3494256391
107	0.3472873409
108	0.3459619827
109	0.3444368648
110	0.3435674107
111	0.3422074147
112	0.3408836507
113	0.3399332347
114	0.3386472427
115	0.3372743294
116	0.3356175241
117	0.3336113504
118	0.3325049422
119	0.3308876254
120	0.3297171675
121	0.3286537345
122	0.3274236019
123	0.3257475267
124	0.3244385454
125	0.3230332276
126	0.3218032814
127	0.3207475353
128	0.3193349008
129	0.3180461585
130	0.3171140164
131	0.3153105545
132	0.3141202914
133	0.3132315864
134	0.3118280483
135	0.3108701339
136	0.3093423782
137	0.3079811166
138	0.3074076879
139	0.3056845953
140	0.3041444689
141	0.3028346786
142	0.3018698335
143	0.3010606217
144	0.300075313
145	0.2996651933
146	0.2986497845
147	0.2973156689
148	0.296423978
149	0.2953909676
150	0.294478181
151	0.2928971427
152	0.2919522087
153	0.2911817583
154	0.2903139904
155	0.2888693374
156	0.2878429319
157	0.2872531418
158	0.286618654
159	0.2857857369
160	0.2847940847
161	0.2838843188
162	0.2828654454
163	0.2820217689
164	0.2812459643
165	0.2804040933
166	0.2798239043
167	0.2789827618
168	0.2779294266
169	0.2772461081
170	0.2768094454
171	0.2760407438
172	0.2753642572
173	0.2744107838
174	0.2736412054
175	0.2727441215
176	0.2719034708
177	0.2708761499
178	0.2701425807
179	0.2691949345
180	0.2681594872
181	0.2673551079
182	0.2663792934
183	0.265652218
184	0.2649135264
185	0.2637885216
186	0.2625270229
187	0.2615918081
188	0.2610155189
189	0.2598239262
190	0.2591409934
191	0.2584206342
192	0.2573975458
193	0.256725159
194	0.256067112
195	0.2553417819
196	0.2543942925
197	0.2534869083
198	0.252327242
199	0.2513970911
200	0.2504473741
201	0.2497722914
202	0.2494039742
203	0.2488336128
204	0.2480160787
205	0.2469944013
206	0.2463517183
207	0.2458534243
208	0.2452387179
209	0.2444174103
210	0.2436236208
211	0.242852091
212	0.2418919669
213	0.2412567563
214	0.2404927349
215	0.2394380725
216	0.2385452058
217	0.2380161503
218	0.2372744193
219	0.2366865837
220	0.2362808834
221	0.2355483647
222	0.2346495258
223	0.2340399779
224	0.2332460555
225	0.2330070268
226	0.2325503468
227	0.2318781016
228	0.2312177973
229	0.2306275832
230	0.2299876007
231	0.2292637246
232	0.2284660993
233	0.2277237994
234	0.2270956811
235	0.2266712199
236	0.2262245588
237	0.2255714624
238	0.2249627741
239	0.2245372652
240	0.2240268723
241	0.2234460607
242	0.222834703
243	0.2220542223
244	0.2218354071
245	0.2213986954
246	0.2210901502
247	0.2205924425
248	0.2198911773
249	0.2194275189
250	0.2186608165
251	0.2180839569
252	0.2172743649
253	0.2169382198
254	0.2162894815
255	0.21578539
256	0.2152577079
257	0.2147317739
258	0.2140946883
259	0.2135195764
260	0.213144537
261	0.2126188408
262	0.2117406804
263	0.2113072283
264	0.2104536995
265	0.2099436822
266	0.2094968758
267	0.2090746953
268	0.2084178984
269	0.2077150093
270	0.2071948684
271	0.206687682
272	0.2058983767
273	0.2053198899
274	0.2051834959
275	0.2046010609
276	0.2042066322
277	0.2037719533
278	0.2034737727
279	0.2029924702
280	0.2025432883
281	0.2018644766
282	0.201582426
283	0.201107631
284	0.2007704215
285	0.200482582
286	0.2000016443
287	0.1993906742
288	0.1991406879
289	0.1984446199
290	0.1982316468
291	0.1975974752
292	0.1970561655
293	0.196537538
294	0.1962123355
295	0.1959386884
296	0.1955902038
297	0.1950837437
298	0.1947963349
299	0.1944792349
300	0.1939203858
301	0.1936292725
302	0.1931974054
303	0.1927855214
304	0.1924775177
305	0.1921791538
306	0.1916932992
307	0.1911445769
308	0.1905331836
309	0.1901797387
310	0.1898237432
311	0.1896326277
312	0.1893825683
313	0.189281045
314	0.1889853456
315	0.1886617806
316	0.1881597294
317	0.1878618172
318	0.187522846
319	0.1867784453
320	0.1862852962
321	0.1857257689
322	0.1853225628
323	0.1849112387
324	0.1846937044
325	0.1845736688
326	0.1843406178
327	0.1837736504
328	0.1832415095
329	0.1827525564
330	0.1824570212
331	0.1819543601
332	0.1815894178
333	0.1809915479
334	0.1805335605
335	0.1803910733
336	0.1800114735
337	0.1795863798
338	0.1792299865
339	0.1790154187
340	0.1783580232
341	0.1780428634
342	0.1774948147
343	0.1772809468
344	0.1768667697
345	0.1764476318
346	0.1762310774
347	0.1758343182
348	0.1754719872
349	0.1749584261
350	0.1747980784
351	0.1743939124
352	0.1740420966
353	0.1736438545
354	0.1733062198
355	0.1729190547
356	0.1723196486
357	0.1719663405
358	0.1717744315
359	0.1713702375
360	0.1709375926
361	0.1707403123
362	0.1704453973
363	0.1703056378
364	0.1699543395
365	0.1697520257
366	0.1693655245
367	0.169051436
368	0.1687703844
369	0.1686155539
370	0.1683324719
371	0.1681353841
372	0.167681615
373	0.1674450804
374	0.1670566794
375	0.166803674
376	0.166582492
377	0.1662408581
378	0.1660230209
379	0.1657727106
380	0.1653326328
381	0.1650834445
382	0.1647883967
383	0.1642919689
384	0.1640993937
385	0.1638661586
386	0.1634147503
387	0.1629939376
388	0.1628507991
389	0.1625731333
390	0.1622270453
391	0.1620889161
392	0.1618074918
393	0.1612453579
394	0.1609966784
395	0.1607850709
396	0.1606938732
397	0.1603151483
398	0.1600882201
399	0.1597955678
400	0.1594869214
401	0.1590816105
402	0.1589687829
403	0.1585878879
404	0.1581927698
405	0.1577141148
406	0.1575086083
407	0.1570936447
408	0.1568008877
409	0.1564508397
410	0.1562371808
411	0.1557922543
412	0.1555778736
413	0.1553732171
414	0.154839414
415	0.1545933455
416	0.1542826298
417	0.1538119884
418	0.1535106922
419	0.1531129583
420	0.1529814465
421	0.1526970604
422	0.1523925655
423	0.1520613021
424	0.1518348122
425	0.1513963943
426	0.1508465936
427	0.150484078
428	0.1502483005
429	0.1499030392
430	0.149616771
431	0.1494007021
432	0.149275363
433	0.1488441739
434	0.1485981888
435	0.1484186058
436	0.148253518
437	0.1480767943
438	0.1478301596
439	0.1475771437
440	0.147363013
441	0.1472910956
442	0.1469029312
443	0.1466694039
444	0.1463936698
445	0.1460079738
446	0.14560862
447	0.1454433614
448	0.1452346291
449	0.1450611669
450	0.1449402946
451	0.1446717654
452	0.1445998785
453	0.1445201703
454	0.1443268213
455	0.144096901
456	0.1437296144
457	0.1435482211
458	0.1433388665
459	0.1430892368
460	0.1429324632
461	0.1427370851
462	0.1425414641
463	0.1421932208
464	0.1420538585
465	0.1417481108
466	0.1415404072
467	0.1413538241
468	0.14103127
469	0.1408779457
470	0.1404252946
471	0.1400959046
472	0.1399436182
473	0.139844708
474	0.1396705389
475	0.1393983006
476	0.1391656504
477	0.1388944259
478	0.138827753
479	0.1387246836
480	0.1384970849
481	0.1381728322
482	0.1379488548
483	0.1378591468
484	0.1374309854
485	0.13726815
486	0.136976559
487	0.1367000373
488	0.1366152311
489	0.1363949823
490	0.1361967669
491	0.1359445916
492	0.1356499113
493	0.1353071643
494	0.1352052856
495	0.1350137303
496	0.1349138539
497	0.1345478664
498	0.1343210686
499	0.1339727106
500	0.1336745308
501	0.1334822687
502	0.1332881102
503	0.1330523274
504	0.1329107849
505	0.1327741126
506	0.1324754553
507	0.1322381965
508	0.132077862
509	0.1317645185
510	0.1315064111
511	0.1313117838
512	0.1310314811
513	0.1307816058
514	0.1304238329
515	0.130098359
516	0.1299745901
517	0.1296298363
518	0.1294436231
519	0.1292965024
520	0.1291502024
521	0.1287069704
522	0.1285650155
523	0.1284062812
524	0.1281877173
525	0.1281099933
526	0.1277209952
527	0.1275668111
528	0.1274449656
529	0.1272623042
530	0.1270630988
531	0.1267474821
532	0.1265756043
533	0.1263215547
534	0.1260132981
535	0.1257934291
536	0.125666758
537	0.1254124021
538	0.1251815567
539	0.1250210086
540	0.1249059284
541	0.1247787457
542	0.1245044071
543	0.1242993665
544	0.1239905048
545	0.1236691173
546	0.1235429772
547	0.123304966
548	0.1230907203
549	0.1229601102
550	0.1226267203
551	0.1224931233
552	0.1223979801
553	0.1221654478
554	0.1218793773
555	0.1215916597
556	0.121353205
557	0.1210947413
558	0.1208253496
