iter	Passed	Remaining
0	28	28465
1	52	26195
2	77	25848
3	102	25456
4	128	25640
5	152	25285
6	177	25178
7	201	24963
8	229	25321
9	265	26292
10	308	27730
11	338	27836
12	362	27506
13	388	27387
14	413	27179
15	440	27088
16	478	27640
17	505	27596
18	529	27347
19	556	27286
20	581	27101
21	605	26929
22	629	26744
23	658	26786
24	685	26741
25	712	26679
26	737	26571
27	761	26446
28	787	26351
29	810	26208
30	836	26150
31	862	26096
32	892	26153
33	922	26217
34	952	26269
35	981	26288
36	1008	26249
37	1035	26203
38	1059	26095
39	1086	26082
40	1111	26003
41	1138	25971
42	1164	25923
43	1189	25852
44	1214	25776
45	1237	25674
46	1262	25604
47	1288	25548
48	1312	25476
49	1340	25460
50	1367	25447
51	1394	25419
52	1418	25341
53	1444	25303
54	1469	25249
55	1495	25210
56	1520	25161
57	1546	25124
58	1588	25338
59	1647	25810
60	1671	25733
61	1697	25674
62	1724	25646
63	1748	25568
64	1774	25525
65	1803	25516
66	1829	25476
67	1854	25420
68	1879	25360
69	1904	25301
70	1930	25254
71	1955	25200
72	1979	25139
73	2003	25068
74	2032	25066
75	2058	25024
76	2082	24958
77	2106	24905
78	2131	24850
79	2157	24809
80	2181	24745
81	2205	24695
82	2234	24691
83	2258	24627
84	2283	24581
85	2308	24531
86	2332	24479
87	2356	24425
88	2380	24369
89	2407	24339
90	2434	24315
91	2472	24407
92	2499	24373
93	2523	24319
94	2549	24289
95	2573	24231
96	2597	24181
97	2622	24136
98	2648	24105
99	2675	24083
100	2702	24053
101	2726	24004
102	2751	23962
103	2775	23910
104	2799	23858
105	2825	23829
106	2852	23803
107	2880	23792
108	2906	23761
109	2931	23716
110	2956	23681
111	2980	23631
112	3006	23599
113	3030	23551
114	3078	23693
115	3113	23727
116	3139	23696
117	3165	23661
118	3189	23616
119	3215	23580
120	3239	23536
121	3264	23490
122	3290	23458
123	3316	23426
124	3352	23466
125	3380	23446
126	3406	23419
127	3433	23392
128	3458	23353
129	3485	23326
130	3508	23276
131	3535	23249
132	3560	23213
133	3588	23188
134	3613	23153
135	3637	23106
136	3661	23065
137	3684	23016
138	3710	22983
139	3734	22939
140	3761	22918
141	3786	22880
142	3811	22844
143	3835	22802
144	3859	22760
145	3883	22715
146	3911	22695
147	3935	22657
148	3960	22621
149	3987	22598
150	4014	22573
151	4040	22542
152	4063	22493
153	4088	22458
154	4114	22429
155	4138	22391
156	4162	22350
157	4190	22330
158	4218	22313
159	4241	22267
160	4265	22230
161	4289	22189
162	4315	22159
163	4338	22118
164	4363	22081
165	4390	22059
166	4420	22051
167	4450	22040
168	4544	22344
169	4595	22436
170	4624	22417
171	4653	22400
172	4679	22371
173	4705	22335
174	4730	22302
175	4755	22264
176	4781	22231
177	4805	22193
178	4832	22165
179	4861	22147
180	4886	22111
181	4913	22082
182	4939	22054
183	4964	22017
184	4990	21984
185	5015	21950
186	5054	21974
187	5083	21956
188	5110	21929
189	5134	21891
190	5161	21862
191	5187	21830
192	5211	21790
193	5235	21750
194	5263	21727
195	5292	21711
196	5320	21688
197	5366	21735
198	5407	21767
199	5447	21789
200	5474	21763
201	5503	21742
202	5557	21819
203	5588	21807
204	5616	21780
205	5643	21751
206	5669	21721
207	5697	21692
208	5723	21661
209	5751	21634
210	5776	21601
211	5802	21567
212	5827	21531
213	5852	21496
214	5878	21462
215	5904	21429
216	5934	21412
217	5961	21383
218	5987	21352
219	6014	21324
220	6037	21282
221	6090	21343
222	6121	21327
223	6147	21298
224	6189	21318
225	6215	21286
226	6241	21252
227	6266	21217
228	6291	21182
229	6315	21141
230	6341	21112
231	6368	21082
232	6397	21060
233	6423	21027
234	6450	20997
235	6475	20964
236	6500	20927
237	6525	20893
238	6550	20858
239	6577	20828
240	6604	20801
241	6629	20766
242	6654	20729
243	6679	20695
244	6704	20659
245	6727	20621
246	6751	20582
247	6777	20551
248	6816	20559
249	6842	20528
250	6869	20497
251	6895	20466
252	6920	20433
253	6945	20399
254	6973	20372
255	7001	20348
256	7026	20315
257	7053	20286
258	7078	20252
259	7104	20221
260	7129	20185
261	7154	20152
262	7179	20117
263	7205	20087
264	7234	20064
265	7258	20030
266	7284	19999
267	7309	19963
268	7335	19933
269	7361	19904
270	7386	19870
271	7410	19833
272	7438	19809
273	7468	19787
274	7524	19838
275	7553	19814
276	7580	19784
277	7605	19751
278	7629	19716
279	7653	19681
280	7681	19653
281	7708	19627
282	7734	19596
283	7759	19563
284	7784	19528
285	7808	19493
286	7833	19460
